Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Mairipotaba;2014;2,15;1,24;0,4;2,31;4,65
Mairipotaba;2016;2,5525;1,39;5,18;1,68;1,96
Mairipotaba;2018;2,7375;1,47;4,62;1,52;3,34
Mambaí;2012;1,3425;0,5;2,96;0;1,91
Mambaí;2014;2,135;0,66;0,51;1,38;5,99
Mambaí;2016;2,89;0,86;6,98;1,1;2,62
Mambaí;2018;2,945;0,79;6,5;1,34;3,15
Mara Rosa;2012;1,9875;0,97;2,28;1,94;2,76
Mara Rosa;2014;2,2225;1,17;0,44;1,87;5,41
Mara Rosa;2016;2,5675;1,3;5,98;1,15;1,84
Mara Rosa;2018;3,065;1,48;6,13;1,19;3,46
Marzagão;2012;2,0875;1,3;2,75;1,61;2,69
Marzagão;2014;2,83;1,89;0,4;2,49;6,54
Marzagão;2016;2,3725;1,37;5,91;1,48;0,73
Marzagão;2018;2,71;1,86;3,46;1,46;4,06
Matrinchã;2012;2,0925;1,42;2,06;1,81;3,08
Matrinchã;2014;2,72;2,01;0,33;2,24;6,3
Matrinchã;2016;2,475;2,02;4,69;1,71;1,48
Matrinchã;2018;2,4225;1,87;2,88;1,86;3,08
Maurilândia;2012;2,13;1,24;1,18;6,1;0
Maurilândia;2014;2,73;0,81;0,36;6,33;3,42
Maurilândia;2016;3,1025;1,49;3,85;3,4;3,67
Maurilândia;2018;2,565;1,14;3,46;2,92;2,74
Mimoso de Goiás;2012;1,44;0,93;1,56;1,94;1,33
Mimoso de Goiás;2014;2,675;1,31;0,38;2,88;6,13
Mimoso de Goiás;2016;3,2025;2,55;4,97;1,41;3,88
Mimoso de Goiás;2018;2,355;2,13;2,69;1,73;2,87
Minaçu;2012;2,81;1,21;3,98;3,13;2,92
Minaçu;2014;2,715;1,33;0,82;3,6;5,11
Minaçu;2016;3,835;1,69;9,35;2,04;2,26
Minaçu;2018;3,65;1,14;8,97;2,09;2,4
Mineiros;2012;2,85;2,9;1,82;3,53;3,15
Mineiros;2014;3,35;3,37;0,34;4,07;5,62
Mineiros;2016;3,37;3,95;4,49;2,92;2,12
Mineiros;2018;3,37;3,88;3,26;2,98;3,36
Moiporá;2012;2,7225;1,47;3,56;1,94;3,92
Moiporá;2014;2,38;1,75;0,58;1,78;5,41
Moiporá;2016;3,33;2,24;7,31;1,57;2,2
Moiporá;2018;3,3275;2,23;5,89;2;3,19
Monte Alegre de Goiás;2012;1,7275;0,64;2,46;0;3,81
Monte Alegre de Goiás;2014;1,8625;0,51;0,5;2,23;4,21
Monte Alegre de Goiás;2016;2,6925;0,74;6,43;0,79;2,81
Monte Alegre de Goiás;2018;2,575;0,74;5,54;0,81;3,21
Montes Claros de Goiás;2012;2,4425;1,66;1,97;2,52;3,62
Montes Claros de Goiás;2014;3,22;2,2;0,33;4,28;6,07
Montes Claros de Goiás;2016;3,075;2,77;4,5;2,77;2,26
Montes Claros de Goiás;2018;2,89;2,61;3,05;2,74;3,16
Montividiu;2012;2,7075;2,21;1,72;4,15;2,75
Montividiu;2014;3,33;2,48;0,36;4,99;5,49
Montividiu;2016;3,175;2,81;4,86;3,01;2,02
Montividiu;2018;3,0825;2,55;3,04;3,6;3,14
Montividiu do Norte;2012;1,805;0,65;2,39;1,88;2,3
Montividiu do Norte;2014;2,13;0,69;0,46;2,34;5,03
