Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Mimoso de Goiás;2017;4,8;    ;    ;4,8;    ;3,7;    ;3,7
Minaçu;2005;3,9;4,6;;4;3,3;3,4;;3,3
Minaçu;2007;4;4,5;;4,1;3,2;3,5;;3,4
Minaçu;2009;4,6;4,8;;4,6;3,3;3,3;;3,3
Minaçu;2011;5,3;5,4;;5,3;4,2;4,1;;4,1
Minaçu;2013;5,6;7;;5,8;4,8;4,7;;4,7
Minaçu;2015;5,9;6,6;;6;5,3;4,7;;4,9
Minaçu;2017;6,1;6,6;    ;6,2;4,6;5,3;    ;5
Mineiros;2005;4,3;4,5;;4,5;2,9;3,5;;3,3
Mineiros;2007;4,5;4,8;;4,6;2,7;3,8;;3,7
Mineiros;2009;4,9;4,4;;4,7;2,5;3,6;;3,6
Mineiros;2011;5,5;4,8;;5,5;2,2;3,9;;3,9
Mineiros;2013;6;7;;6;;5,4;;5,3
Mineiros;2015;6,2;5,8;;6,2;;5;;5
Mineiros;2017;6,5;6;    ;6,5;    ;5,7;    ;5,7
Moiporá;2005;;;;;;;;
Moiporá;2007;3,9;;;4;;4,7;;4,7
Moiporá;2009;4;;;4,1;;;;
Moiporá;2011;;;;;;;;
Moiporá;2013;;;;;;;;
Moiporá;2015;;;;;;;;
Moiporá;2017;    ;    ;    ;    ;    ;6,3;    ;6,3
Monte Alegre de Goiás;2005;;3,6;;3,4;;3;;3
Monte Alegre de Goiás;2007;2,9;2,7;;2,8;;2,8;;2,8
Monte Alegre de Goiás;2009;3,8;4,1;;4,2;;3,5;;3,5
Monte Alegre de Goiás;2011;4,8;5,3;;4,9;;3,5;;3,4
Monte Alegre de Goiás;2013;4,7;;;4,7;;4,6;;4,6
Monte Alegre de Goiás;2015;4,4;;;4,4;;4,6;;4,6
Monte Alegre de Goiás;2017;4,6;    ;    ;4,6;    ;4,3;    ;4,3
Montes Claros de Goiás;2005;4,1;;;4,3;3,7;3,5;;3,5
Montes Claros de Goiás;2007;4,4;3,7;;4,3;4,3;3,7;;4,1
Montes Claros de Goiás;2009;4,3;4,3;;4,3;4,3;4,3;;4,4
