Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Bela Vista de Goiás;2012;5,51333333333333;;;;6,84;8,51;7,11;4,7;3,5;2,42
Bela Vista de Goiás;2014;4,97666666666667;;;;5,16;6,53;5,6;5;4,1;3,47
Bela Vista de Goiás;2016;5,61222222222222;8,54;5,09;6,34;5,26;6,51;5,35;5,6;4,4;3,42
Bela Vista de Goiás;2018;5,77444444444444;8,8;5,36;3,65;10;10;0;5,8;5,2;3,16
Bom Jardim de Goiás;2012;5,095;;;;5,29;8,37;3,12;4,9;3,1;5,79
Bom Jardim de Goiás;2014;5,45833333333333;;;;4,22;6,12;6,32;5,4;4,1;6,59
Bom Jardim de Goiás;2016;5,37777777777778;10;4,72;4,52;3,75;3,81;5,56;5,7;4,2;6,14
Bom Jardim de Goiás;2018;6,14666666666667;9;5,8;4,05;7,86;7,8;3,49;6,2;5,3;5,82
Bom Jesus de Goiás;2012;5,58666666666667;;;;6,45;8,62;4,81;4,8;4,1;4,74
Bom Jesus de Goiás;2014;5,39166666666667;;;;5,12;7,86;5,91;5,4;4,2;3,86
Bom Jesus de Goiás;2016;5,71111111111111;9,29;6,7;4,31;5,11;6,27;5,37;5,9;5,1;3,35
Bom Jesus de Goiás;2018;6,14888888888889;9,25;6,21;5,66;6,71;6,47;5,8;6,3;5,2;3,74
Bonfinópolis;2012;5,60166666666667;;;;7,55;8,9;4,31;4,3;3,6;4,95
Bonfinópolis;2014;5,495;;;;5,49;7,85;6,41;4,9;4;4,32
Bonfinópolis;2016;5,32333333333333;5,83;5,48;3,76;4,86;10;5,17;5,6;4;3,21
Bonfinópolis;2018;4,96666666666667;6,25;4,78;3,16;5,82;6,55;4,06;5,7;5,3;3,08
Bonópolis;2012;4,845;;;;3,52;8,4;6,37;4,1;3,7;2,98
Bonópolis;2014;4,025;;;;3,31;4,04;4,8;4,1;3,2;4,7
Bonópolis;2016;4,73888888888889;8;3,6;1,67;6,24;4,42;4,47;5,1;4,5;4,65
