Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Aparecida de Goiânia;2014;6,538;6,37;6,89;2,88;8,5;8,05
Aparecida de Goiânia;2016;6,15;6,59;6,44;2,42;8,45;6,85
Aparecida de Goiânia;2018;7,128;8,22;7,3;3,62;8,65;7,85
Aparecida do Rio Doce;2012;9,916;10;9,68;9,9;10;10
Aparecida do Rio Doce;2014;9,92;10;9,84;9,76;10;10
Aparecida do Rio Doce;2016;8,996;10;7,88;9,29;7,81;10
Aparecida do Rio Doce;2018;7,72;10;6,73;7,75;7,66;6,46
Aporé;2012;9,31;10;10;9,91;9,46;7,18
Aporé;2014;9,614;10;10;9,77;10;8,3
Aporé;2016;8,288;3,25;8,78;9,41;10;10
Aporé;2018;6,666;8,82;6,78;7,74;3,59;6,4
Araçu;2012;8,73;6,77;8,9;9,66;9,73;8,59
Araçu;2014;9,204;10;7,54;8,92;9,56;10
Araçu;2016;8,158;7,58;6,81;9,23;8,55;8,62
Araçu;2018;8,528;8,69;8,25;9,13;8,95;7,62
Aragarças;2012;7,546;9,33;7,59;6,78;7,55;6,48
Aragarças;2014;8,098;9,06;7,41;6,9;9,59;7,53
Aragarças;2016;6,984;8,59;7,5;7,26;8,52;3,05
Aragarças;2018;6,176;9,51;7,32;3,91;7,48;2,66
Aragoiânia;2012;9,004;7,8;8,5;9,15;9,57;10
Aragoiânia;2014;9,134;8,99;8,4;8,72;9,56;10
Aragoiânia;2016;6,25;7,08;3,66;4,23;7,95;8,33
Aragoiânia;2018;6,512;6,98;5,25;4,19;8,28;7,86
Araguapaz;2012;9,136;10;9,34;9,16;9,32;7,86
Araguapaz;2014;8,716;7,68;8,42;7,92;9,56;10
Araguapaz;2016;8,772;10;8,64;8,6;9,3;7,32
Araguapaz;2018;6,982;4,41;5,66;7,97;7,63;9,24
Arenópolis;2012;9,008;8,12;8,4;8,68;9,84;10
Arenópolis;2014;9,444;10;7,94;9,45;9,83;10
Arenópolis;2016;9,232;10;8,85;9,01;10;8,3
Arenópolis;2018;6,838;6,72;6,67;7,72;3,08;10
Aruanã;2012;6,326;5,9;5,36;5,03;7,49;7,85
Aruanã;2014;4,596;2,22;2,75;4,75;9,1;4,16
Aruanã;2016;7,164;8,95;3,59;5,94;7,94;9,4
Aruanã;2018;4,692;5,69;3,53;5,73;1,46;7,05
Aurilândia;2012;8,208;10;6,7;8,11;6,23;10
Aurilândia;2014;6,55;5,09;4,49;8,69;6,32;8,16
Aurilândia;2016;7,442;10;4,16;9,22;5,31;8,52
Aurilândia;2018;6,088;1,47;5,71;8,11;5,15;10
Avelinópolis;2012;8,472;4,98;9,04;8,76;9,58;10
Avelinópolis;2014;8,026;2,84;9,53;7,98;9,78;10
Avelinópolis;2016;8,976;10;8,58;8,39;10;7,91
Avelinópolis;2018;6,922;4,13;7,87;8,13;6,86;7,62
Baliza;2012;9,868;10;9,72;9,62;10;10
Baliza;2014;9,798;10;9,51;9,48;10;10
Baliza;2016;8,656;5,85;9,2;9,42;10;8,81
Baliza;2018;8,496;7,89;8,44;8,48;8,31;9,36
